gamma,misfit,regularization
0.001,0.5922970698993638,0.010098329518884371
0.003,0.6032531895814226,0.009925020987437186
0.01,0.6126503775009268,0.014472939501383465
0.03,0.6201564267988433,0.029713994877390893
0.1,0.6299458881661573,0.08083623894806678
0.3,0.64936576519927,0.21033670859067563
1.0,0.7268862419917066,0.5705613700657706
3.0,0.9935070963170042,1.2784839999338986
10.0,2.0543745086663976,2.4507395321708954
30.0,4.581854735431083,3.0207042975154104
100.0,10.094255514517515,0.030220225099682183
300.0,10.13414664301389,0.008529681621698395
1000.0,10.146073353597963,0.0025236672711567423
3000.0,10.149438043418892,0.0008406064184738529
10000.0,10.150614887010711,0.00025220124497621067
