time,QoI,sigma
0.25,1600000023770377.0,26844357042.010963
2.5,1600198575107683.0,35506209521926.55
5.0,1600288148571279.2,38393263395709.17
7.5,1600352066173579.0,36760427918448.84
10.0,1600398728279943.5,33396422694832.508
12.5,1600433406762427.8,29535278673093.336
15.0,1600459680506846.2,25809249296080.258
17.5,1600479992872083.5,22483697259674.863
20.0,1600496014493118.0,19627325235741.86
22.5,1600508895539634.2,17218524697123.254
25.0,1600519437073435.2,15202113337352.225
27.5,1600528205196489.8,13516184974048.693
30.0,1600535606405081.8,12103255987166.95
