step_index,QoI_value,sigma_Q
0,8.959352781403429e-07,0.0
1,9004225060533.592,165919485315.87103
2,9000739438342.37,312721796231.3058
3,8997393533385.688,461086402922.17975
4,8994154312053.576,604954102383.111
5,8990931075965.164,744230268297.7012
6,8987728080924.623,883008315490.2943
7,8984559229167.404,1024703586103.1132
8,8981422009702.639,1162056723229.8271
9,8978305075334.377,1294378125858.9111
10,8975203483667.54,1443451722900.6594
11,8972094621600.236,1587167374010.6152
12,8968997786764.13,1702936564010.8274
13,8965915921584.883,1839877806714.9675
14,8962822880680.74,1964608613719.0452
15,8959731790128.148,2086836943139.7246
16,8956663451881.643,2216484903367.6235
17,8953610183538.502,2355505676306.908
18,8950568478217.201,2452159572782.4097
19,8947540257410.42,2563942184960.2886
20,8944520899372.057,2677582055102.0503
21,8941502401651.127,2805709605627.897
22,8938474650100.422,2940077339221.0464
23,8935445648717.58,3072662793021.4873
24,8932434601860.021,3185548376099.6753
25,8929431542570.773,3311294422747.8037
26,8926433372699.174,3422613878101.3037
27,8923460997022.646,3513494267846.6685
28,8920477096199.451,3643041181674.0
29,8917499633074.9,3759977217613.1606
30,8914512231981.336,3888637324098.163
31,8911523252185.682,4028550965297.3057
32,8908522645323.336,4174127789068.883
33,8905518926948.848,4308135387033.012
34,8902510168451.879,4414320214213.406
35,8899483818156.318,4542504408356.358
36,8896447803803.625,4690410033939.043
37,8893400618949.256,4823056231793.96
38,8890350428206.371,4962401607667.165
39,8887288597193.98,5091769619754.474
40,8884226041076.477,5241693740531.829
41,8881160088728.438,5360187182091.59
42,8878101551596.367,5478138559583.325
43,8875045388550.658,5605904871471.511
44,8871977206476.111,5750321480268.291
45,8868903206603.02,5890114497737.209
46,8865816784477.805,6027396806707.538
47,8862729728160.305,6163874505104.679
48,8859646536678.92,6302064765021.055
49,8856557961239.37,6427385279571.051
50,8853461008208.592,6548541770417.949
51,8850363188030.018,6689901989344.271
52,8847261134138.916,6807148846145.093
53,8844151902018.19,6951686703483.154
54,8841036354074.441,7086275392359.976
55,8837916744114.578,7232718084323.083
56,8834794115165.848,7366960901142.914
57,8831669022074.195,7501866746734.329
58,8828537245918.166,7642986373041.229
59,8825408527363.45,7767253455301.492
60,8822276140980.768,7904404602968.524
61,8819143939056.762,8026409942018.122
62,8816010861764.959,8164672243238.742
63,8812882246534.645,8288442074608.502
64,8809748518782.064,8413320964543.889
65,8806616507759.264,8538564416990.615
66,8803488198056.674,8659889593860.915
67,8800354303893.258,8795366773879.912
68,8797219780776.316,8934939158122.611
69,8794082858695.43,9075174875061.791
70,8790942210252.688,9207371832262.158
71,8787799370969.299,9344899748982.105
72,8784653527763.95,9483962284613.582
73,8781506585932.27,9602559126711.322
74,8778362018396.622,9736168410317.701
75,8775211494053.706,9866935705019.213
76,8772059096245.393,9992331766056.594
77,8768900974926.697,10112986905768.477
78,8765738308700.189,10245064313379.508
79,8762579291050.074,10366245297456.553
